Art workshops,Grades,Session 1,Session 2,Session 3,Session 4,Capacity,Location
A1- Pulled String Art with Ben (K-5),3-5,Y,Y,Y,Y,20,108
A2- Yoga to Calm your Mind (3-5),3-5,Y,Y,Y,Y,16,314
A3 - Music: Violins with Teacher Hsiao (3-5),3-5,N,N,Y,Y,20,Music
A4 - Music: Drums Teacher Hsiao (K-2),K-2,Y,Y,N,N,20,Music
A5 - Ninja Stress Ball (K-5),K-5,Y,Y,Y,Y,16,Middle Yard (in front of library)
A6 - SFPL: Mini Bookmaking (K-5),K-5,Y,Y,Y,Y,20,318
A7 - Karate with Zanshin Dojo Martial Arts (K-5),K-5,Y,Y,Y,Y,20,Middle Yard (by street gate)
A8 - Tutti i Frutti with Teachers Piersanti & Gordon (K-5),K-2,Y,Y,Y,Y,10,Middle Yard (garden by outside stairs)
A9 - Collagraph Printmaking (K-5),K-5,Y,Y,Y,Y,16,310
A10 - Girl Power Science: WaterColor Resist (3-5),3-5,Y,Y,N,N,16,Auditorium
A11 - Sun Prints with Garden Teacher Arens (K-5),K-5,Y,Y,Y,Y,18,Garden (by colored tables)
A12 - Fool's Gold Panning (K-5),K-5,Y,Y,Y,Y,16,Garden
A13 - Fire Engine (K-2),K-2,N,N,Y,N,20,Upper Yard
A14 - Push Academy: Improv (K-5),K-5,Y,Y,Y,Y,16,103
A15 - The Playspace: Theater Games (K-2),K-2,N,N,Y,Y,12,105
A16 - The Playspace: Theater Games (3-5),3-5,Y,Y,N,N,12,105
A17 - Chess Challenge! by Academic Chess (K-5),K-5,Y,Y,Y,Y,20,204
A18 - Soap Carving (3-5),3-5,Y,Y,Y,Y,16,Upper Yard (in front of Wellness Center)
A19 - Taiko (K-5),K-5,Y,Y,Y,Y,12,Library
A20 - Salt Painting (K-5),K-5,Y,Y,Y,Y,12,Auditorium
A21 - Origami Cranes (K-5),K-5,Y,Y,Y,Y,16,3
A22 - Decorating Sugar Cookies (K-5),K-5,Y,Y,Y,Y,16,Auditorium
A23 - Make a Whirligig - A Fun Spin Toy (K-5),K-5,Y,Y,Y,Y,20,202
A24 - Fire Engine (3-5),3-5,N,N,N,Y,20,Upper Yard
