Science Workshops,Grades,Session 1,Session 2,Session 3,Session 4,Capacity,Location
S1 - Vision Science (3-5),3-5,Y,Y,Y,Y,12,214
S2 - Air Rockets (K-5),K-5,Y,Y,Y,Y,10,Upper Yard
S3 - Air Powered Rocket Demo (K - 5),K-5,Y,Y,Y,Y,16,Upper Yard
S4 - Growing Seeds by SF Environment (K-2),K-2,Y,N,N,N,20,5
S5 - Zero Waste - Worm Bins by SF Environment (K-2),K-2,N,Y,N,N,20,5
S6 - Growing Seeds by SF Environment (3-5),3-5,N,N,Y,N,20,5
S7 - Zero Waste - DIY Tote Bags by SF Environment (3-5),3-5,N,N,N,Y,20,5
S8 - Bouncy Bubbles (K-5),K-5,Y,Y,Y,Y,16,Lower Yard (middle)
S10 - Teachable Machine (3 - 5),3-5,Y,Y,Y,Y,10,209
S11 - Strawberry DNA Extraction (K- 5),K-5,Y,Y,Y,Y,16,107
S12 - Ice Cream Making (K - 5),K-5,Y,Y,Y,Y,16,316
S13 - States of Matter: Making Ice Cream (K - 5),K-5,Y,Y,Y,Y,16,3
S14 - Giant Bubbles (K - 5),K-5,Y,Y,Y,Y,16,Middle Yard (near elevator)
S15 - Soda Geysers (K - 5),K-5,Y,Y,Y,Y,16,Lower Yard (street side)
S16 - Is it an Acid or Base? (K - 5),K-5,Y,Y,Y,Y,15,205
S17 - STEMful: Evolutionary Hands (K - 2),K-2,Y,Y,N,N,20,109
S18 - STEMful: Constellation Telescopes (3 - 5),3-5,N,N,Y,Y,20,109
S19 - Tree Frog Treks  (K-2),K-2,N,N,Y,Y,25,Lower Yard (near playground)
S20 - Tree Frog Treks (3-5),3-5,Y,Y,N,N,25,Lower Yard (near playground)
S21 - Vacuum Chamber Experiments by the Randall Museum (K-5),K-5,Y,Y,Y,Y,20,110
S22 - Dolphin Project: Echolocation (3-5),3-5,Y,Y,Y,Y,16,312
S23 - Magnetic Slime (K-5),K-5,Y,Y,Y,Y,16,206
S24 - Tiny Worlds: Viewing the microscopic world (K-5),3-5,Y,Y,Y,Y,10,313
S25 - Chemistry & Tea (K-5),K-5,Y,Y,Y,Y,16,1
S26 - Penny Boat Challenge (K-5),K-5,Y,Y,Y,Y,16,207
S27 - Exploding Experiments (K-2),K-2,Y,Y,Y,Y,12,Middle Yard (near basketball)
S28 - Lemon Powered Lights (2-5),2-5,Y,Y,Y,Y,12,203
S29 - Nature Detectives with CA State Parks (K-5),K-5,Y,Y,Y,Y,20,Middle Yard (by soccer area)
