Art workshops,Grades,Session 1,Session 2,Session 3,Session 4,Capacity,Location
A1 - Optical Illusions with Teacher Ben & Saya,3-5,Y,Y,Y,Y,19,108
A2 - Hip Hop with Dance Mission Theater,K-5,Y,Y,Y,Y,19,Lower Yard (in front of middle stairs)
A3 - SFPL: Mini Bookmaking,K-5,Y,Y,Y,Y,15,Cafeteria
A4 - Rock Band Land's Big Guy Thunder,3-5,Y,Y,Y,Y,10,Library
A5 - Chess Challenge! by Academic Chess,K-5,Y,Y,Y,Y,19,Cafeteria (Stage)
A6 - Physical Education by Push Academy,K-5,Y,Y,Y,Y,19,Upper Yard (near music)
A7 - Fire Engine Explore,K-2,N,Y,Y,N,24,Upper Yard (near gate)
A8 - Karate with Zanshin Dojo Martial Arts,K-5,Y,Y,Y,Y,19,Middle Yard (by Garden Stairs)
A9 - SF Opera: Bearitone the Opera Bear,K-2,Y,Y,Y,Y,19,105
A10 - Stressed Out Balloons,K-5,Y,Y,Y,Y,12,Cafeteria (corner closest to main entrance)
A11 - Peace Party!,K-2,Y,Y,N,N,15,Middle Yard (in front of libarary)
A12 - Peace Party!,3-5,N,N,Y,Y,15,Middle Yard (in front of libarary)
A13 - Yoga to Calm your Mind ,3-5,Y,Y,Y,Y,14,214
A14 - Make a Whirligig,K-5,Y,Y,Y,Y,18,318
A15 - Step into Garba: An Intro to Indian Folk Dance,K-5,Y,Y,Y,Y,15,110
A16 - The Playspace,K-2,N,N,Y,Y,12,107
A17 - The Playspace,3-5,Y,Y,N,N,12,107
A18 - Tanko Bushi: The Coal Miner's Dance,2-5,Y,Y,Y,Y,12,312
A19 - Taiko,K-5,Y,Y,Y,Y,12,316
A20 - SF Ballet,K-2,Y,Y,N,N,16,5
A21 - SF Ballet,3-5,N,N,Y,Y,16,5
A22 - Percussion with Teacher Janie Hsiao,K-2,N,N,Y,Y,19,Music Room
A23 - Percussion with Teacher Janie Hsiao,3-5,Y,Y,N,N,19,Music Room
A24 - Balloonology 101,2-5,Y,Y,Y,Y,15,203
A25 - Dumpling Dreams with Teachers Joli and Rosella,K-2,Y,Y,Y,Y,12,310
