Science Workshops,Grades,Session 1,Session 2,Session 3,Session 4,Capacity,Location
S1 - Soda Geysers,K-5,Y,Y,Y,Y,12,Lower Yard (by gate)
S2 - Dolphin Project: All About Dolphins,K-5,Y,Y,Y,Y,15,314
S3 - Randall Museum: Microscopes,K-5,Y,Y,Y,Y,19,109
S4 - STEMful: Building a Coral Reef,K-2,Y,Y,N,N,19,209
S5 - STEMful: Candy DNA Helix,3-5,N,N,Y,Y,19,209
S6 - Air Rockets,K-5,Y,Y,Y,Y,14,Upper Yard (middle)
S7 - States of Matter: Making Ice Cream,K-5,Y,Y,Y,Y,12,207
S8 - Marble Run,K-2,N,N,Y,Y,15,103
S9 - Marble Run,3-5,Y,Y,N,N,15,103
S10 - Water Rockets,3-5,Y,Y,Y,Y,14,Middle Yard (basketball)
S11 - Ice Cream Making,K-5,Y,Y,Y,Y,20,205
S12 - Eye-mazing Science: From Light to Sight and Optical Tricks,K-2,Y,Y,N,N,15,1
S13 - Eye-mazing Science: From Light to Sight and Optical Tricks,3-5,N,N,Y,Y,15,1
S14 - Magnet Magic,3-5,Y,Y,Y,Y,14,202
S15 - Toy Car Launcher and String Telephone,K-5,Y,Y,Y,Y,12,Cafeteria (near stage)
S18 - Baking Soda Experiences: From Fizz to Flying,K-2,N,N,Y,Y,12,Garden (benches)
S19 - Baking Soda Experiences: From Fizz to Flying,3-5,Y,Y,N,N,12,Garden (benches)
S20 - Exploring the Microscopic World,K-5,Y,Y,Y,Y,8,Library (team room 1)
S21 - Physics of Soccer by Beach Chalet Soccer,K-5,Y,Y,Y,Y,19,Middle Yard (soccer area)
S22 - Wild Wacky Animal Names with The Screaming Hairy Armadillo,K-5,Y,Y,Y,Y,19,204
S23 - Magnetic Slime,K-5,Y,Y,Y,Y,16,206
S24 - Glow Party!,K-3,Y,Y,Y,Y,15,313
S25 - Potion Making,K-5,Y,Y,Y,Y,12,Garden
S26 - DIY Tote Bags by SF Environment,3-5,Y,Y,N,N,19,3
S27 - Biodiversity by SF Environment,K-2,N,N,Y,Y,19,3
S28 - Tree Frog Treks,K-2,N,N,Y,Y,20,Lower Yard (near play structure)
S29 - Tree Frog Treks,3-5,Y,Y,N,N,20,Lower Yard (near play structure)
