Art workshops,Grades,Session 1,Session 2,Session 3,Session 4,Capacity,Location
A1 - Gyotaku Fish Printing with Art Teacher Ben,2-5,Y,Y,Y,Y,12,313
A2 - SFPL: Mini Bookmaking,TK-5,Y,Y,Y,Y,20,Auditorium
A3 - Chess Challenge! by Academic Chess,TK-5,Y,Y,Y,Y,20,Auditorium (Stage)
A4 - Fire Engine Explore,TK-2,N,Y,N,N,32,Upper Yard (by gate)
A5 - Yoga to Calm your Mind,3-5,Y,Y,Y,Y,15,214
A6 - Tattoo Art and History with One Shot Tattoo,2-5,Y,Y,Y,Y,20,204
A7 - SF Ballet (TK-2),TK-2,Y,Y,N,N,20,5
A8 - SF Ballet (3-5),3-5,N,N,Y,Y,20,5
A9 - Zanshin Dojo Karate,TK-5,Y,Y,Y,Y,32,Middle Yard (by entrance gate)
A10 - Boba Lab by the T-Squad,K-2,Y,Y,Y,Y,10,310
A11 - Taiko,TK-5,Y,Y,Y,Y,16,Library
A12 - Balloonology 101,2-5,Y,Y,Y,Y,16,312
A13 - Hip Hop / K-Pop,3-5,Y,Y,Y,Y,24,205
A14 - Make a Whirligig,TK-5,Y,Y,Y,Y,24,316
A15 - Soap Carving,3-5,Y,Y,Y,Y,20,Garden (side near stairs)
A16 - Chromatography Butterflies,TK-2,Y,Y,Y,Y,19,110
A17 - The Playspace (TK-2),TK-2,N,N,Y,Y,12,105
A18 - The Playspace (3-5),3-5,Y,Y,N,N,12,105
A19 - Sun Prints,TK-2,Y,Y,Y,Y,24,Garden (closer to shed)
A20 - Giant Bubbles,TK-5,Y,Y,Y,Y,12,Middle Yard (near elevator)
A21 - Beat Lab,3-5,Y,Y,Y,Y,12,Music Room
A22 - Shibori with Ms. Otsuki,TK-5,Y,Y,Y,Y,18,3 (side with sink)
A23 - Draw-along Disney Character,3-5,Y,Y,Y,Y,24,Auditorium
