Science Workshops,Grades,Session 1,Session 2,Session 3,Session 4,Capacity,Location
S1 - Soda Geysers,TK-5,Y,Y,Y,Y,16,Upper Yard (by music room)
S2 - Dolphin Project: All About Dolphins,TK-5,Y,Y,Y,Y,16,1
S3 - Randall Museum: Geology Rocks!,TK-5,Y,Y,Y,Y,25,203
S4 - STEMful: Upcycled Sensory Bottles (TK-2),TK-2,Y,Y,N,N,32,206
S5 - STEMful: Wheat Paste Collage (3-5),3-5,N,N,Y,Y,32,206
S6 - Weather vs Climate,3-5,Y,Y,Y,Y,12,103
S7 - States of Matter: Making Ice Cream,TK-5,Y,Y,Y,Y,18,109
S8 - SF Environment: Exploring Biodiversity in the City (TK-2),TK-2,N,N,Y,Y,32,207
S9 - SF Environment: Repurposing Plastic Bags into Plastic Flowers Craft (3-5),3-5,Y,Y,N,N,32,207
S10 - Water Rockets,3-5,Y,Y,Y,Y,16,Upper Yard (by Wellness Center)
S11 - Bee Bots,TK-2,Y,Y,Y,Y,18,3 (front)
S12 - Tree Frog Treks (TK-2),TK-2,Y,Y,N,N,32,Lower Yard (by play structure)
S13 - Tree Frog Treks (3-5),3-5,N,N,Y,Y,32,Lower Yard (by play structure)
S14 - JAL Aviation Class (TK-2),TK-2,N,N,Y,Y,20,314
S15 - JAL Aviation Class (3-5),3-5,Y,Y,N,N,20,314
S16 - Butter Slime Lab (TK-2),TK-2,Y,Y,N,N,16,108
S17 - Butter Slime Lab (3-5),3-5,N,N,Y,Y,16,108
S18 - What’s in Your Lunchbox? What Food Does for Your Body with Push Academy,TK-5,Y,Y,Y,N,20,Auditorium
S19 - Bouncing Bubbles,TK-5,Y,Y,Y,Y,16,Middle Yard (near stairs / garden)
S20 - Goatlandia! (TK-2),TK-2,N,N,Y,Y,24,Lower Yard (by the gate)
S21 - Goatlandia! (3-5),3-5,Y,Y,N,N,24,Lower Yard (by the gate)
S22 - Strawberry DNA,TK-5,Y,Y,Y,Y,16,209
S23 - Glow Party! (TK-2),TK-2,Y,Y,N,N,15,318
S24 - Glow Party! (3-5),3-5,N,N,Y,Y,15,318
S25 - Ooblek!,TK-5,Y,Y,Y,Y,16,Middle Yard (by bball)
S26 - battery + bulb = blinky light,TK-5,Y,Y,Y,Y,16,Auditorium
S27 - Exploring the Microscopic with Teacher Gabe!,TK-5,Y,Y,Y,Y,16,202
S28 - Are you Faster than a Stentor Cell?,3-5,Y,Y,Y,Y,20,107
